Algorithm,swapRate,ReverseSortedRatio,ExecutionTime
R,0.1117,0.820166,36
H,0.1118,0.819903,94
M,0.1118,0.819903,44
Q,0.1118,0.819903,70
R,0.1118,0.819903,30
H,0.1119,0.819428,94
M,0.1119,0.819428,54
Q,0.1119,0.819428,77
R,0.1119,0.819428,35
H,0.1120,0.819615,86
M,0.1120,0.819615,49
Q,0.1120,0.819615,73
R,0.1120,0.819615,34
H,0.1121,0.819260,81
M,0.1121,0.819260,46
Q,0.1121,0.819260,71
R,0.1121,0.819260,28
H,0.1122,0.819323,80
M,0.1122,0.819323,42
Q,0.1122,0.819323,66
R,0.1122,0.819323,45
H,0.1123,0.818828,93
M,0.1123,0.818828,44
Q,0.1123,0.818828,70
R,0.1123,0.818828,30
H,0.1124,0.819028,88
M,0.1124,0.819028,59
Q,0.1124,0.819028,75
R,0.1124,0.819028,31
H,0.1125,0.818806,85
M,0.1125,0.818806,47
Q,0.1125,0.818806,76
R,0.1125,0.818806,30
H,0.1126,0.818819,89
M,0.1126,0.818819,48
Q,0.1126,0.818819,93
R,0.1126,0.818819,37
H,0.1127,0.818434,80
M,0.1127,0.818434,55
Q,0.1127,0.818434,85
R,0.1127,0.818434,39
H,0.1128,0.818791,87
M,0.1128,0.818791,79
Q,0.1128,0.818791,88
R,0.1128,0.818791,29
H,0.1129,0.818245,88
M,0.1129,0.818245,51
Q,0.1129,0.818245,83
R,0.1129,0.818245,34
H,0.1130,0.818108,82
M,0.1130,0.818108,46
Q,0.1130,0.818108,78
R,0.1130,0.818108,34
H,0.1131,0.818095,82
M,0.1131,0.818095,46
Q,0.1131,0.818095,78
R,0.1131,0.818095,33
H,0.1132,0.817383,84
M,0.1132,0.817383,46
Q,0.1132,0.817383,73
R,0.1132,0.817383,49
H,0.1133,0.817687,77
M,0.1133,0.817687,48
Q,0.1133,0.817687,73
R,0.1133,0.817687,28
H,0.1134,0.817789,72
M,0.1134,0.817789,48
Q,0.1134,0.817789,77
R,0.1134,0.817789,27
H,0.1135,0.817718,71
M,0.1135,0.817718,47
Q,0.1135,0.817718,69
R,0.1135,0.817718,33
H,0.1136,0.817393,83
M,0.1136,0.817393,48
Q,0.1136,0.817393,93
R,0.1136,0.817393,33
H,0.1137,0.817250,81
M,0.1137,0.817250,41
Q,0.1137,0.817250,65
R,0.1137,0.817250,32
H,0.1138,0.817177,78
M,0.1138,0.817177,42
Q,0.1138,0.817177,79
R,0.1138,0.817177,27
H,0.1139,0.817192,87
M,0.1139,0.817192,53
Q,0.1139,0.817192,77
R,0.1139,0.817192,28
H,0.1140,0.816722,75
M,0.1140,0.816722,44
Q,0.1140,0.816722,88
R,0.1140,0.816722,28
H,0.1141,0.817147,87
M,0.1141,0.817147,50
Q,0.1141,0.817147,83
R,0.1141,0.817147,27
H,0.1142,0.816485,90
M,0.1142,0.816485,52
Q,0.1142,0.816485,84
R,0.1142,0.816485,40
H,0.1143,0.816427,87
M,0.1143,0.816427,44
Q,0.1143,0.816427,74
R,0.1143,0.816427,40
H,0.1144,0.816581,83
M,0.1144,0.816581,47
Q,0.1144,0.816581,81
R,0.1144,0.816581,31
H,0.1145,0.816754,75
M,0.1145,0.816754,41
Q,0.1145,0.816754,75
R,0.1145,0.816754,41
H,0.1146,0.816058,84
M,0.1146,0.816058,47
Q,0.1146,0.816058,73
R,0.1146,0.816058,34
H,0.1147,0.815834,84
M,0.1147,0.815834,58
Q,0.1147,0.815834,91
R,0.1147,0.815834,38
H,0.1148,0.816192,80
M,0.1148,0.816192,43
Q,0.1148,0.816192,69
R,0.1148,0.816192,33
H,0.1149,0.815802,95
M,0.1149,0.815802,45
Q,0.1149,0.815802,73
R,0.1149,0.815802,35
H,0.1150,0.815462,86
M,0.1150,0.815462,48
Q,0.1150,0.815462,76
R,0.1150,0.815462,29
H,0.1151,0.815392,88
M,0.1151,0.815392,43
Q,0.1151,0.815392,76
R,0.1151,0.815392,27
H,0.1152,0.815288,81
M,0.1152,0.815288,45
Q,0.1152,0.815288,91
R,0.1152,0.815288,39
H,0.1153,0.815332,79
M,0.1153,0.815332,42
Q,0.1153,0.815332,75
R,0.1153,0.815332,31
H,0.1154,0.815174,81
M,0.1154,0.815174,56
Q,0.1154,0.815174,68
R,0.1154,0.815174,41
H,0.1155,0.814885,84
M,0.1155,0.814885,43
Q,0.1155,0.814885,77
R,0.1155,0.814885,32
H,0.1156,0.814645,79
M,0.1156,0.814645,44
Q,0.1156,0.814645,67
R,0.1156,0.814645,34
H,0.1157,0.814885,76
M,0.1157,0.814885,43
Q,0.1157,0.814885,81
R,0.1157,0.814885,43
H,0.1158,0.814724,75
M,0.1158,0.814724,49
Q,0.1158,0.814724,68
R,0.1158,0.814724,31
H,0.1159,0.814436,79
M,0.1159,0.814436,60
Q,0.1159,0.814436,72
R,0.1159,0.814436,39
H,0.1160,0.814435,91
M,0.1160,0.814435,47
Q,0.1160,0.814435,71
R,0.1160,0.814435,30
H,0.1161,0.814271,82
M,0.1161,0.814271,52
Q,0.1161,0.814271,90
R,0.1161,0.814271,38
H,0.1162,0.814001,80
M,0.1162,0.814001,54
Q,0.1162,0.814001,73
R,0.1162,0.814001,38
H,0.1163,0.814011,79
M,0.1163,0.814011,40
Q,0.1163,0.814011,73
R,0.1163,0.814011,34
H,0.1164,0.813883,74
M,0.1164,0.813883,46
Q,0.1164,0.813883,79
R,0.1164,0.813883,42
H,0.1165,0.813836,89
M,0.1165,0.813836,58
Q,0.1165,0.813836,71
R,0.1165,0.813836,29
H,0.1166,0.813760,86
M,0.1166,0.813760,46
Q,0.1166,0.813760,77
R,0.1166,0.813760,33
H,0.1167,0.813572,83
M,0.1167,0.813572,42
Q,0.1167,0.813572,73
R,0.1167,0.813572,37
H,0.1168,0.813301,181
M,0.1168,0.813301,78
Q,0.1168,0.813301,88
R,0.1168,0.813301,38
H,0.1169,0.813178,107
M,0.1169,0.813178,50
Q,0.1169,0.813178,72
R,0.1169,0.813178,38
H,0.1170,0.813060,78
M,0.1170,0.813060,43
Q,0.1170,0.813060,70
R,0.1170,0.813060,30
H,0.1171,0.813063,88
M,0.1171,0.813063,48
Q,0.1171,0.813063,73
R,0.1171,0.813063,29
H,0.1172,0.812537,92
M,0.1172,0.812537,45
Q,0.1172,0.812537,82
R,0.1172,0.812537,45
H,0.1173,0.812837,75
M,0.1173,0.812837,43
Q,0.1173,0.812837,80
R,0.1173,0.812837,34
H,0.1174,0.812368,95
M,0.1174,0.812368,58
Q,0.1174,0.812368,75
R,0.1174,0.812368,34
H,0.1175,0.812665,75
M,0.1175,0.812665,51
Q,0.1175,0.812665,80
R,0.1175,0.812665,31
H,0.1176,0.812456,87
M,0.1176,0.812456,49
Q,0.1176,0.812456,74
R,0.1176,0.812456,31
H,0.1177,0.812247,86
M,0.1177,0.812247,61
Q,0.1177,0.812247,65
R,0.1177,0.812247,40
H,0.1178,0.812373,87
M,0.1178,0.812373,46
Q,0.1178,0.812373,74
R,0.1178,0.812373,30
H,0.1179,0.812132,82
M,0.1179,0.812132,48
Q,0.1179,0.812132,79
R,0.1179,0.812132,32
H,0.1180,0.811828,94
M,0.1180,0.811828,44
Q,0.1180,0.811828,70
R,0.1180,0.811828,35
H,0.1181,0.811780,88
M,0.1181,0.811780,49
Q,0.1181,0.811780,85
R,0.1181,0.811780,32
H,0.1182,0.811732,92
M,0.1182,0.811732,47
Q,0.1182,0.811732,81
R,0.1182,0.811732,41
H,0.1183,0.811358,88
M,0.1183,0.811358,42
Q,0.1183,0.811358,72
R,0.1183,0.811358,30
H,0.1184,0.811252,84
M,0.1184,0.811252,51
Q,0.1184,0.811252,81
R,0.1184,0.811252,32
H,0.1185,0.811443,89
M,0.1185,0.811443,50
Q,0.1185,0.811443,69
R,0.1185,0.811443,30
H,0.1186,0.810962,86
M,0.1186,0.810962,45
Q,0.1186,0.810962,87
R,0.1186,0.810962,34
H,0.1187,0.811005,77
M,0.1187,0.811005,53
Q,0.1187,0.811005,72
R,0.1187,0.811005,44
H,0.1188,0.810861,84
M,0.1188,0.810861,47
Q,0.1188,0.810861,70
R,0.1188,0.810861,34
H,0.1189,0.810934,92
M,0.1189,0.810934,60
Q,0.1189,0.810934,83
R,0.1189,0.810934,42
H,0.1190,0.810962,91
M,0.1190,0.810962,46
Q,0.1190,0.810962,75
R,0.1190,0.810962,33
H,0.1191,0.810461,94
M,0.1191,0.810461,45
Q,0.1191,0.810461,68
R,0.1191,0.810461,34
H,0.1192,0.810530,80
M,0.1192,0.810530,43
Q,0.1192,0.810530,75
R,0.1192,0.810530,41
H,0.1193,0.810339,90
M,0.1193,0.810339,48
Q,0.1193,0.810339,77
R,0.1193,0.810339,36
H,0.1194,0.809964,89
M,0.1194,0.809964,53
Q,0.1194,0.809964,65
R,0.1194,0.809964,32
H,0.1195,0.810193,88
M,0.1195,0.810193,48
Q,0.1195,0.810193,84
R,0.1195,0.810193,41
H,0.1196,0.809889,91
M,0.1196,0.809889,43
Q,0.1196,0.809889,78
R,0.1196,0.809889,34
H,0.1197,0.809642,89
M,0.1197,0.809642,53
Q,0.1197,0.809642,83
R,0.1197,0.809642,34
H,0.1198,0.809834,96
M,0.1198,0.809834,45
Q,0.1198,0.809834,65
R,0.1198,0.809834,30
H,0.1199,0.809643,101
M,0.1199,0.809643,57
Q,0.1199,0.809643,77
R,0.1199,0.809643,41
H,0.1200,0.809581,92
M,0.1200,0.809581,45
Q,0.1200,0.809581,73
R,0.1200,0.809581,45
H,0.1201,0.809254,87
M,0.1201,0.809254,44
Q,0.1201,0.809254,72
R,0.1201,0.809254,27
H,0.1202,0.809182,94
M,0.1202,0.809182,49
Q,0.1202,0.809182,86
R,0.1202,0.809182,45
H,0.1203,0.808906,85
M,0.1203,0.808906,41
Q,0.1203,0.808906,65
R,0.1203,0.808906,30
H,0.1204,0.809146,90
M,0.1204,0.809146,45
Q,0.1204,0.809146,65
R,0.1204,0.809146,30
H,0.1205,0.808847,91
M,0.1205,0.808847,51
Q,0.1205,0.808847,94
R,0.1205,0.808847,28
H,0.1206,0.808926,72
M,0.1206,0.808926,46
Q,0.1206,0.808926,71
R,0.1206,0.808926,34
H,0.1207,0.808821,91
M,0.1207,0.808821,51
Q,0.1207,0.808821,91
R,0.1207,0.808821,40
H,0.1208,0.808569,80
M,0.1208,0.808569,46
Q,0.1208,0.808569,78
R,0.1208,0.808569,28
H,0.1209,0.808343,84
M,0.1209,0.808343,51
Q,0.1209,0.808343,72
R,0.1209,0.808343,31
H,0.1210,0.808112,107
M,0.1210,0.808112,62
Q,0.1210,0.808112,81
R,0.1210,0.808112,35
H,0.1211,0.808123,76
M,0.1211,0.808123,51
Q,0.1211,0.808123,67
R,0.1211,0.808123,32
H,0.1212,0.807898,84
M,0.1212,0.807898,49
Q,0.1212,0.807898,88
R,0.1212,0.807898,38
H,0.1213,0.807616,90
M,0.1213,0.807616,42
Q,0.1213,0.807616,119
R,0.1213,0.807616,43
H,0.1214,0.807469,87
M,0.1214,0.807469,53
Q,0.1214,0.807469,69
R,0.1214,0.807469,34
H,0.1215,0.807724,90
M,0.1215,0.807724,48
Q,0.1215,0.807724,65
R,0.1215,0.807724,31
H,0.1216,0.807697,76
M,0.1216,0.807697,48
Q,0.1216,0.807697,71
R,0.1216,0.807697,37
H,0.1217,0.807436,86
M,0.1217,0.807436,46
Q,0.1217,0.807436,79
R,0.1217,0.807436,38
H,0.1218,0.807276,100
M,0.1218,0.807276,50
Q,0.1218,0.807276,85
R,0.1218,0.807276,34
H,0.1219,0.806784,90
M,0.1219,0.806784,52
Q,0.1219,0.806784,67
R,0.1219,0.806784,29
H,0.1220,0.807089,90
M,0.1220,0.807089,54
Q,0.1220,0.807089,72
R,0.1220,0.807089,30
H,0.1221,0.806852,96
M,0.1221,0.806852,50
Q,0.1221,0.806852,72
R,0.1221,0.806852,37
H,0.1222,0.806910,101
M,0.1222,0.806910,52
Q,0.1222,0.806910,73
R,0.1222,0.806910,46
H,0.1223,0.806620,82
M,0.1223,0.806620,45
Q,0.1223,0.806620,71
R,0.1223,0.806620,28
H,0.1224,0.806519,97
M,0.1224,0.806519,52
Q,0.1224,0.806519,76
R,0.1224,0.806519,30
H,0.1225,0.806102,88
M,0.1225,0.806102,48
Q,0.1225,0.806102,82
R,0.1225,0.806102,39
H,0.1226,0.806097,86
M,0.1226,0.806097,43
Q,0.1226,0.806097,85
R,0.1226,0.806097,33
H,0.1227,0.806007,105
M,0.1227,0.806007,48
Q,0.1227,0.806007,73
R,0.1227,0.806007,43
H,0.1228,0.806149,93
M,0.1228,0.806149,45
Q,0.1228,0.806149,78
R,0.1228,0.806149,28
H,0.1229,0.805925,90
M,0.1229,0.805925,52
Q,0.1229,0.805925,75
R,0.1229,0.805925,28
H,0.1230,0.805480,84
M,0.1230,0.805480,53
Q,0.1230,0.805480,70
R,0.1230,0.805480,32
H,0.1231,0.805647,96
M,0.1231,0.805647,56
Q,0.1231,0.805647,74
R,0.1231,0.805647,43
H,0.1232,0.805621,85
M,0.1232,0.805621,49
Q,0.1232,0.805621,73
R,0.1232,0.805621,36
H,0.1233,0.805605,86
M,0.1233,0.805605,46
Q,0.1233,0.805605,74
R,0.1233,0.805605,34
H,0.1234,0.805125,94
M,0.1234,0.805125,62
Q,0.1234,0.805125,84
R,0.1234,0.805125,34
H,0.1235,0.805524,89
M,0.1235,0.805524,46
Q,0.1235,0.805524,73
R,0.1235,0.805524,30
H,0.1236,0.805057,83
M,0.1236,0.805057,55
Q,0.1236,0.805057,91
R,0.1236,0.805057,36
H,0.1237,0.804872,93
M,0.1237,0.804872,49
Q,0.1237,0.804872,75
R,0.1237,0.804872,36
H,0.1238,0.804689,92
M,0.1238,0.804689,45
Q,0.1238,0.804689,79
R,0.1238,0.804689,28
H,0.1239,0.804478,95
M,0.1239,0.804478,56
Q,0.1239,0.804478,90
R,0.1239,0.804478,30
H,0.1240,0.804495,88
M,0.1240,0.804495,42
Q,0.1240,0.804495,78
R,0.1240,0.804495,28
H,0.1241,0.804090,84
M,0.1241,0.804090,49
Q,0.1241,0.804090,72
R,0.1241,0.804090,35
H,0.1242,0.804442,178
M,0.1242,0.804442,68
Q,0.1242,0.804442,77
R,0.1242,0.804442,42
H,0.1243,0.804092,100
M,0.1243,0.804092,51
Q,0.1243,0.804092,85
R,0.1243,0.804092,45
H,0.1244,0.804010,107
M,0.1244,0.804010,54
Q,0.1244,0.804010,103
R,0.1244,0.804010,33
H,0.1245,0.804157,107
M,0.1245,0.804157,56
Q,0.1245,0.804157,77
R,0.1245,0.804157,32
H,0.1246,0.803550,99
M,0.1246,0.803550,48
Q,0.1246,0.803550,86
R,0.1246,0.803550,28
H,0.1247,0.803606,93
M,0.1247,0.803606,50
Q,0.1247,0.803606,80
R,0.1247,0.803606,37
H,0.1248,0.803500,93
M,0.1248,0.803500,48
Q,0.1248,0.803500,76
R,0.1248,0.803500,27
H,0.1249,0.803361,94
M,0.1249,0.803361,52
Q,0.1249,0.803361,75
R,0.1249,0.803361,31
H,0.1250,0.803239,89
M,0.1250,0.803239,47
Q,0.1250,0.803239,80
R,0.1250,0.803239,29
H,0.1251,0.803041,87
M,0.1251,0.803041,43
Q,0.1251,0.803041,70
R,0.1251,0.803041,31
H,0.1252,0.802934,83
M,0.1252,0.802934,49
Q,0.1252,0.802934,65
R,0.1252,0.802934,50
H,0.1253,0.803018,98
M,0.1253,0.803018,42
Q,0.1253,0.803018,89
R,0.1253,0.803018,27
H,0.1254,0.802770,94
M,0.1254,0.802770,52
Q,0.1254,0.802770,69
R,0.1254,0.802770,27
H,0.1255,0.802797,93
M,0.1255,0.802797,52
Q,0.1255,0.802797,76
R,0.1255,0.802797,33
H,0.1256,0.802753,89
M,0.1256,0.802753,43
Q,0.1256,0.802753,75
R,0.1256,0.802753,35
H,0.1257,0.802354,79
M,0.1257,0.802354,42
Q,0.1257,0.802354,71
R,0.1257,0.802354,43
H,0.1258,0.802533,97
M,0.1258,0.802533,41
Q,0.1258,0.802533,74
R,0.1258,0.802533,37
H,0.1259,0.801944,88
M,0.1259,0.801944,49
Q,0.1259,0.801944,78
R,0.1259,0.801944,28
H,0.1260,0.802088,97
M,0.1260,0.802088,50
Q,0.1260,0.802088,73
R,0.1260,0.802088,37
H,0.1261,0.802081,95
M,0.1261,0.802081,50
Q,0.1261,0.802081,71
R,0.1261,0.802081,33
H,0.1262,0.801674,92
M,0.1262,0.801674,49
Q,0.1262,0.801674,70
R,0.1262,0.801674,35
H,0.1263,0.801748,84
M,0.1263,0.801748,45
Q,0.1263,0.801748,78
R,0.1263,0.801748,32
H,0.1264,0.801718,91
M,0.1264,0.801718,66
Q,0.1264,0.801718,79
R,0.1264,0.801718,34
H,0.1265,0.801317,100
M,0.1265,0.801317,51
Q,0.1265,0.801317,65
R,0.1265,0.801317,31
H,0.1266,0.801594,99
M,0.1266,0.801594,42
Q,0.1266,0.801594,70
R,0.1266,0.801594,27
H,0.1267,0.801541,86
M,0.1267,0.801541,49
Q,0.1267,0.801541,70
R,0.1267,0.801541,41
H,0.1268,0.801107,83
M,0.1268,0.801107,42
Q,0.1268,0.801107,65
R,0.1268,0.801107,30
H,0.1269,0.801038,85
M,0.1269,0.801038,52
Q,0.1269,0.801038,81
R,0.1269,0.801038,41
H,0.1270,0.801039,85
M,0.1270,0.801039,47
Q,0.1270,0.801039,71
R,0.1270,0.801039,33
H,0.1271,0.800702,92
M,0.1271,0.800702,54
Q,0.1271,0.800702,75
R,0.1271,0.800702,28
H,0.1272,0.800668,94
M,0.1272,0.800668,51
Q,0.1272,0.800668,76
R,0.1272,0.800668,34
H,0.1273,0.800430,84
M,0.1273,0.800430,45
Q,0.1273,0.800430,89
R,0.1273,0.800430,31
H,0.1274,0.800354,82
M,0.1274,0.800354,71
Q,0.1274,0.800354,75
R,0.1274,0.800354,27
H,0.1275,0.800255,93
M,0.1275,0.800255,42
Q,0.1275,0.800255,70
R,0.1275,0.800255,29
H,0.1276,0.800465,93
M,0.1276,0.800465,41
Q,0.1276,0.800465,72
R,0.1276,0.800465,27
H,0.1277,0.799964,87
M,0.1277,0.799964,50
Q,0.1277,0.799964,69
R,0.1277,0.799964,36
H,0.1278,0.799538,88
M,0.1278,0.799538,55
Q,0.1278,0.799538,81
R,0.1278,0.799538,28
H,0.1279,0.799780,82
M,0.1279,0.799780,60
Q,0.1279,0.799780,76
R,0.1279,0.799780,33
H,0.1280,0.799505,85
M,0.1280,0.799505,43
Q,0.1280,0.799505,75
R,0.1280,0.799505,31
H,0.1281,0.799692,93
M,0.1281,0.799692,43
Q,0.1281,0.799692,73
R,0.1281,0.799692,35
H,0.1282,0.799685,88
M,0.1282,0.799685,42
Q,0.1282,0.799685,71
R,0.1282,0.799685,31
H,0.1283,0.799325,84
M,0.1283,0.799325,62
Q,0.1283,0.799325,79
R,0.1283,0.799325,35
H,0.1284,0.798715,104
M,0.1284,0.798715,55
Q,0.1284,0.798715,73
R,0.1284,0.798715,29
H,0.1285,0.799296,88
M,0.1285,0.799296,43
Q,0.1285,0.799296,85
R,0.1285,0.799296,29
H,0.1286,0.798929,89
M,0.1286,0.798929,52
Q,0.1286,0.798929,76
R,0.1286,0.798929,27
H,0.1287,0.798688,79
M,0.1287,0.798688,48
Q,0.1287,0.798688,74
R,0.1287,0.798688,35
H,0.1288,0.798775,79
M,0.1288,0.798775,46
Q,0.1288,0.798775,77
R,0.1288,0.798775,28
H,0.1289,0.798603,84
M,0.1289,0.798603,56
Q,0.1289,0.798603,69
R,0.1289,0.798603,35
H,0.1290,0.798733,81
M,0.1290,0.798733,50
Q,0.1290,0.798733,71
R,0.1290,0.798733,34
H,0.1291,0.798091,78
M,0.1291,0.798091,52
Q,0.1291,0.798091,73
R,0.1291,0.798091,28
H,0.1292,0.798207,90
M,0.1292,0.798207,44
Q,0.1292,0.798207,72
R,0.1292,0.798207,34
H,0.1293,0.798204,87
M,0.1293,0.798204,50
Q,0.1293,0.798204,75
R,0.1293,0.798204,35
H,0.1294,0.798000,83
M,0.1294,0.798000,47
Q,0.1294,0.798000,81
R,0.1294,0.798000,30
H,0.1295,0.797983,78
M,0.1295,0.797983,47
Q,0.1295,0.797983,80
R,0.1295,0.797983,33
H,0.1296,0.798146,82
M,0.1296,0.798146,56
Q,0.1296,0.798146,75
R,0.1296,0.798146,28
H,0.1297,0.797683,89
M,0.1297,0.797683,43
Q,0.1297,0.797683,75
R,0.1297,0.797683,35
H,0.1298,0.797441,84
M,0.1298,0.797441,45
Q,0.1298,0.797441,72
R,0.1298,0.797441,28
H,0.1299,0.797235,85
M,0.1299,0.797235,58
Q,0.1299,0.797235,76
R,0.1299,0.797235,28
H,0.1300,0.797220,82
M,0.1300,0.797220,48
Q,0.1300,0.797220,69
R,0.1300,0.797220,30
H,0.1301,0.797485,89
M,0.1301,0.797485,47
Q,0.1301,0.797485,72
R,0.1301,0.797485,38
H,0.1302,0.796841,88
M,0.1302,0.796841,52
Q,0.1302,0.796841,75
R,0.1302,0.796841,35
H,0.1303,0.796468,88
M,0.1303,0.796468,49
Q,0.1303,0.796468,81
R,0.1303,0.796468,28
H,0.1304,0.796855,79
M,0.1304,0.796855,63
Q,0.1304,0.796855,81
R,0.1304,0.796855,28
H,0.1305,0.796546,91
M,0.1305,0.796546,48
Q,0.1305,0.796546,77
R,0.1305,0.796546,33
H,0.1306,0.796642,89
M,0.1306,0.796642,48
Q,0.1306,0.796642,71
R,0.1306,0.796642,27
H,0.1307,0.796446,102
M,0.1307,0.796446,53
Q,0.1307,0.796446,70
R,0.1307,0.796446,40
H,0.1308,0.796331,86
M,0.1308,0.796331,42
Q,0.1308,0.796331,80
R,0.1308,0.796331,38
H,0.1309,0.796464,96
M,0.1309,0.796464,60
Q,0.1309,0.796464,87
R,0.1309,0.796464,28
H,0.1310,0.796266,92
M,0.1310,0.796266,49
Q,0.1310,0.796266,69
R,0.1310,0.796266,27
H,0.1311,0.796047,95
M,0.1311,0.796047,44
Q,0.1311,0.796047,83
R,0.1311,0.796047,27
H,0.1312,0.795918,81
M,0.1312,0.795918,46
Q,0.1312,0.795918,77
R,0.1312,0.795918,42
H,0.1313,0.795773,91
M,0.1313,0.795773,46
Q,0.1313,0.795773,72
R,0.1313,0.795773,35
H,0.1314,0.795758,89
M,0.1314,0.795758,59
Q,0.1314,0.795758,90
R,0.1314,0.795758,37
H,0.1315,0.795645,114
M,0.1315,0.795645,53
Q,0.1315,0.795645,84
R,0.1315,0.795645,28
H,0.1316,0.795721,90
M,0.1316,0.795721,48
Q,0.1316,0.795721,82
R,0.1316,0.795721,28
H,0.1317,0.795307,93
M,0.1317,0.795307,52
Q,0.1317,0.795307,91
R,0.1317,0.795307,41
H,0.1318,0.795065,86
M,0.1318,0.795065,48
Q,0.1318,0.795065,82
R,0.1318,0.795065,30
H,0.1319,0.794742,92
M,0.1319,0.794742,53
Q,0.1319,0.794742,77
R,0.1319,0.794742,34
H,0.1320,0.795254,137
M,0.1320,0.795254,80
Q,0.1320,0.795254,172
R,0.1320,0.795254,53
H,0.1321,0.794526,105
M,0.1321,0.794526,51
Q,0.1321,0.794526,82
R,0.1321,0.794526,35
H,0.1322,0.794655,89
M,0.1322,0.794655,50
Q,0.1322,0.794655,117
R,0.1322,0.794655,37
H,0.1323,0.794515,86
M,0.1323,0.794515,49
Q,0.1323,0.794515,98
R,0.1323,0.794515,58
H,0.1324,0.794170,257
M,0.1324,0.794170,129
Q,0.1324,0.794170,215
R,0.1324,0.794170,32
H,0.1325,0.794235,114
M,0.1325,0.794235,55
Q,0.1325,0.794235,84
R,0.1325,0.794235,39
H,0.1326,0.794128,93
M,0.1326,0.794128,53
Q,0.1326,0.794128,71
R,0.1326,0.794128,44
H,0.1327,0.794188,89
M,0.1327,0.794188,45
Q,0.1327,0.794188,75
R,0.1327,0.794188,34
H,0.1328,0.793710,90
M,0.1328,0.793710,55
Q,0.1328,0.793710,79
R,0.1328,0.793710,38
H,0.1329,0.793939,94
M,0.1329,0.793939,51
Q,0.1329,0.793939,76
R,0.1329,0.793939,28
H,0.1330,0.793694,90
M,0.1330,0.793694,42
Q,0.1330,0.793694,67
R,0.1330,0.793694,33
H,0.1331,0.793637,88
M,0.1331,0.793637,61
Q,0.1331,0.793637,68
R,0.1331,0.793637,28
H,0.1332,0.793295,89
M,0.1332,0.793295,50
Q,0.1332,0.793295,71
R,0.1332,0.793295,41
H,0.1333,0.793225,95
M,0.1333,0.793225,51
Q,0.1333,0.793225,102
R,0.1333,0.793225,33
H,0.1334,0.793534,94
M,0.1334,0.793534,48
Q,0.1334,0.793534,74
R,0.1334,0.793534,34
H,0.1335,0.793418,107
M,0.1335,0.793418,61
Q,0.1335,0.793418,84
R,0.1335,0.793418,43
H,0.1336,0.792583,110
M,0.1336,0.792583,54
Q,0.1336,0.792583,70
R,0.1336,0.792583,31
H,0.1337,0.793036,79
M,0.1337,0.793036,53
Q,0.1337,0.793036,75
R,0.1337,0.793036,36
H,0.1338,0.793093,89
M,0.1338,0.793093,53
Q,0.1338,0.793093,74
R,0.1338,0.793093,32
H,0.1339,0.792603,88
M,0.1339,0.792603,51
Q,0.1339,0.792603,82
R,0.1339,0.792603,41
H,0.1340,0.792108,88
M,0.1340,0.792108,43
Q,0.1340,0.792108,74
R,0.1340,0.792108,40
H,0.1341,0.792299,85
M,0.1341,0.792299,43
Q,0.1341,0.792299,90
R,0.1341,0.792299,29
H,0.1342,0.792252,81
M,0.1342,0.792252,44
Q,0.1342,0.792252,76
R,0.1342,0.792252,36
H,0.1343,0.792515,90
M,0.1343,0.792515,43
Q,0.1343,0.792515,73
R,0.1343,0.792515,36
H,0.1344,0.792206,89
M,0.1344,0.792206,47
Q,0.1344,0.792206,83
R,0.1344,0.792206,29
H,0.1345,0.792020,84
M,0.1345,0.792020,50
Q,0.1345,0.792020,79
R,0.1345,0.792020,35
H,0.1346,0.791723,79
M,0.1346,0.791723,49
Q,0.1346,0.791723,71
R,0.1346,0.791723,27
H,0.1347,0.791787,86
M,0.1347,0.791787,55
Q,0.1347,0.791787,93
R,0.1347,0.791787,37
H,0.1348,0.791663,93
M,0.1348,0.791663,48
Q,0.1348,0.791663,86
R,0.1348,0.791663,34
H,0.1349,0.791475,79
M,0.1349,0.791475,66
Q,0.1349,0.791475,92
R,0.1349,0.791475,27
H,0.1350,0.791522,95
M,0.1350,0.791522,52
Q,0.1350,0.791522,95
R,0.1350,0.791522,33
H,0.1351,0.791274,86
M,0.1351,0.791274,42
Q,0.1351,0.791274,79
R,0.1351,0.791274,29
H,0.1352,0.791649,79
M,0.1352,0.791649,48
Q,0.1352,0.791649,75
R,0.1352,0.791649,40
H,0.1353,0.791230,81
M,0.1353,0.791230,43
Q,0.1353,0.791230,81
R,0.1353,0.791230,32
H,0.1354,0.790776,87
M,0.1354,0.790776,51
Q,0.1354,0.790776,80
R,0.1354,0.790776,28
H,0.1355,0.790798,84
M,0.1355,0.790798,49
Q,0.1355,0.790798,80
R,0.1355,0.790798,30
H,0.1356,0.790416,75
M,0.1356,0.790416,49
Q,0.1356,0.790416,86
R,0.1356,0.790416,32
H,0.1357,0.790524,86
M,0.1357,0.790524,48
Q,0.1357,0.790524,74
R,0.1357,0.790524,35
H,0.1358,0.790591,79
M,0.1358,0.790591,59
Q,0.1358,0.790591,91
R,0.1358,0.790591,39
H,0.1359,0.790183,85
M,0.1359,0.790183,57
Q,0.1359,0.790183,70
R,0.1359,0.790183,42
H,0.1360,0.790194,98
M,0.1360,0.790194,46
Q,0.1360,0.790194,78
R,0.1360,0.790194,31
H,0.1361,0.789903,79
M,0.1361,0.789903,52
Q,0.1361,0.789903,81
R,0.1361,0.789903,31
H,0.1362,0.790247,86
M,0.1362,0.790247,49
Q,0.1362,0.790247,81
